customer_id,age,city,monthly_spend,days_since_last_purchase,support_tickets,payment_delay_days,digital_engagement_score,promotion_usage,contract_type,channel,customer_comment,churn
120,28,Quito,286.54,49,0,39,41.53,1,Enterprise,Call Center,El producto llegó tarde,0
121,68,Cuenca,295.58,141,3,35,28.35,1,Basic,Call Center,Muy satisfecho con el soporte,1
122,34,Guayaquil,285.82,162,2,57,28.39,0,Enterprise,Web,Atención rápida y eficiente,1
123,25,Guayaquil,301.42,109,3,47,48.23,0,Enterprise,WhatsApp,No volvería a comprar,1
124,52,Guayaquil,356.33,86,5,23,71.96,1,Premium,Call Center,Buen precio y calidad,1
125,52,Manta,265.72,53,5,44,35.89,0,Basic,WhatsApp,Atención rápida y eficiente,1
126,50,Quito,306.72,123,2,53,61.0,0,Enterprise,WhatsApp,El producto llegó tarde,0
127,22,Quito,242.82,87,3,26,38.25,0,Enterprise,Store,Servicio lento y mala atención,1
128,59,Quito,365.21,179,6,24,30.45,1,Enterprise,Store,Servicio lento y mala atención,1
129,56,Manta,195.89,131,3,58,2.49,1,Premium,Call Center,Excelente experiencia,0
130,58,Quito,394.08,42,2,31,0.39,0,Premium,Web,Muy satisfecho con el soporte,1
131,45,Manta,246.79,98,3,51,22.72,0,Premium,Web,Atención rápida y eficiente,1
132,24,Guayaquil,135.54,160,1,17,40.64,0,Enterprise,Call Center,No volvería a comprar,0
133,26,Cuenca,260.25,109,1,45,85.13,0,Premium,Call Center,El producto llegó tarde,1
134,25,Quito,195.52,51,4,17,79.85,1,Enterprise,Web,Atención rápida y eficiente,0
135,29,Quito,317.25,85,0,36,26.72,1,Basic,WhatsApp,Problemas frecuentes con la plataforma,1
136,51,Guayaquil,197.79,174,6,25,24.45,0,Enterprise,Call Center,Servicio lento y mala atención,1
137,50,Cuenca,214.31,127,2,8,22.73,0,Premium,WhatsApp,Atención rápida y eficiente,1
138,65,Manta,98.84,21,3,59,33.92,1,Basic,Call Center,El producto llegó tarde,1
139,72,Cuenca,213.82,44,2,34,49.82,0,Enterprise,Call Center,No volvería a comprar,0
140,40,Guayaquil,56.09,139,0,7,43.87,1,Basic,WhatsApp,El producto llegó tarde,0
141,41,Guayaquil,123.29,103,1,19,21.83,0,Basic,WhatsApp,Muy satisfecho con el soporte,1
142,54,Cuenca,310.83,68,4,53,13.05,1,Basic,Web,Excelente experiencia,1
143,52,Manta,312.86,129,3,41,1.26,0,Enterprise,Call Center,El producto llegó tarde,1
144,61,Manta,284.04,92,3,21,15.4,0,Premium,Store,Buen precio y calidad,0
145,57,Quito,172.64,24,5,18,70.54,1,Enterprise,Store,Atención rápida y eficiente,0
146,39,Manta,246.18,125,1,29,24.36,1,Premium,Call Center,Excelente experiencia,1
147,44,Cuenca,249.71,141,4,52,46.86,0,Enterprise,Call Center,No volvería a comprar,1
148,52,Guayaquil,157.33,111,1,27,59.13,0,Enterprise,Call Center,Excelente experiencia,1
149,18,Quito,370.27,98,1,34,88.68,1,Enterprise,WhatsApp,El producto llegó tarde,1
150,52,Quito,320.19,139,1,42,88.89,1,Premium,Store,El producto llegó tarde,1
151,54,Guayaquil,232.32,179,0,10,74.57,0,Enterprise,Store,Buen precio y calidad,0
152,64,Manta,252.15,17,1,30,3.52,0,Basic,Store,Servicio lento y mala atención,1
153,31,Guayaquil,266.67,99,4,48,57.51,1,Enterprise,Call Center,Atención rápida y eficiente,1
154,20,Manta,86.66,82,2,47,78.66,1,Basic,WhatsApp,Buen precio y calidad,1
155,18,Guayaquil,230.23,104,1,38,1.73,1,Premium,Call Center,El producto llegó tarde,1
156,22,Cuenca,195.44,152,1,35,54.97,1,Premium,Web,Problemas frecuentes con la plataforma,0
157,43,Manta,169.87,19,1,29,85.78,1,Enterprise,Web,Excelente experiencia,0
158,72,Cuenca,227.51,165,2,22,47.41,0,Enterprise,Store,Buen precio y calidad,1
159,31,Quito,393.81,85,2,18,0.41,0,Enterprise,Call Center,Buen precio y calidad,0
160,56,Guayaquil,301.27,8,0,11,1.1,1,Basic,Web,Atención rápida y eficiente,0
161,44,Quito,204.31,28,2,14,41.66,0,Premium,Web,Problemas frecuentes con la plataforma,0
162,26,Quito,295.81,5,1,30,15.5,0,Basic,Call Center,Problemas frecuentes con la plataforma,1
163,32,Quito,361.95,145,2,42,66.45,1,Basic,WhatsApp,Problemas frecuentes con la plataforma,1
164,32,Quito,323.97,101,2,36,70.88,0,Enterprise,Call Center,Atención rápida y eficiente,1
165,43,Guayaquil,254.77,164,0,36,17.79,0,Enterprise,Call Center,Servicio lento y mala atención,1
166,59,Quito,198.25,118,2,14,88.85,0,Basic,WhatsApp,El producto llegó tarde,0
167,30,Guayaquil,305.86,147,0,28,44.19,1,Basic,Store,El producto llegó tarde,1
168,68,Guayaquil,281.48,64,3,49,14.28,1,Enterprise,Store,No volvería a comprar,1
169,49,Cuenca,321.62,91,4,42,76.43,0,Enterprise,Store,Atención rápida y eficiente,1
170,56,Manta,300.81,117,4,25,79.0,0,Basic,WhatsApp,Servicio lento y mala atención,1
171,66,Manta,333.96,98,3,43,63.93,0,Enterprise,Web,No volvería a comprar,1
172,69,Guayaquil,207.18,11,3,1,85.35,0,Enterprise,WhatsApp,No volvería a comprar,0
173,49,Cuenca,355.39,54,2,19,73.74,0,Basic,Call Center,No volvería a comprar,0
174,21,Guayaquil,265.81,173,0,14,88.22,0,Basic,WhatsApp,Atención rápida y eficiente,0
175,47,Guayaquil,416.02,47,2,51,43.39,1,Premium,Web,Muy satisfecho con el soporte,0
176,54,Guayaquil,194.86,140,3,3,74.76,0,Basic,Web,No volvería a comprar,1
177,40,Cuenca,388.88,149,1,21,99.98,0,Enterprise,Call Center,Buen precio y calidad,1
178,56,Manta,265.83,139,2,49,72.49,1,Basic,Store,Excelente experiencia,1
179,62,Cuenca,197.89,5,1,37,11.42,0,Basic,Web,Buen precio y calidad,1
180,32,Quito,211.29,20,1,22,51.83,0,Basic,Web,Buen precio y calidad,0
181,60,Cuenca,224.37,169,2,58,58.73,0,Premium,Web,El producto llegó tarde,1
182,46,Cuenca,283.93,46,3,25,17.42,0,Premium,Call Center,Muy satisfecho con el soporte,1
183,53,Cuenca,291.83,12,2,50,96.29,1,Enterprise,Web,Atención rápida y eficiente,0
184,30,Cuenca,204.1,70,0,10,17.56,0,Premium,Store,No volvería a comprar,0
185,49,Manta,248.05,17,3,27,17.76,1,Basic,Call Center,El producto llegó tarde,1
186,24,Quito,421.38,115,2,55,91.52,0,Premium,Store,Servicio lento y mala atención,1
187,68,Manta,388.2,147,2,1,46.52,0,Basic,Web,Servicio lento y mala atención,1
188,39,Manta,284.91,154,0,58,6.32,1,Premium,Web,Atención rápida y eficiente,0
189,45,Cuenca,253.04,48,4,7,59.82,0,Premium,Store,El producto llegó tarde,0
190,19,Guayaquil,259.6,108,2,28,60.18,1,Premium,Call Center,Excelente experiencia,1
191,59,Guayaquil,299.08,52,2,10,6.45,1,Basic,Call Center,Atención rápida y eficiente,0
192,62,Manta,168.18,96,1,36,97.25,1,Premium,Store,El producto llegó tarde,0
193,74,Manta,229.41,70,2,17,54.4,0,Basic,Web,El producto llegó tarde,1
194,70,Cuenca,116.51,102,2,54,55.98,0,Basic,WhatsApp,Muy satisfecho con el soporte,1
195,23,Manta,281.94,75,2,49,52.01,0,Enterprise,Store,Atención rápida y eficiente,0
196,45,Cuenca,301.78,161,4,13,61.07,0,Premium,Store,Servicio lento y mala atención,1
197,45,Guayaquil,211.35,151,0,53,26.43,1,Enterprise,Store,Servicio lento y mala atención,1
198,61,Guayaquil,375.92,143,1,9,28.72,0,Enterprise,Web,No volvería a comprar,1
199,61,Quito,151.94,155,4,34,51.13,0,Basic,Call Center,Buen precio y calidad,1
200,37,Guayaquil,132.85,179,0,8,80.67,1,Premium,Web,Atención rápida y eficiente,0
201,47,Manta,267.96,82,0,34,4.99,1,Basic,Store,El producto llegó tarde,1
202,28,Guayaquil,333.77,92,3,10,60.34,0,Basic,Web,Atención rápida y eficiente,0
203,72,Cuenca,384.71,179,0,43,80.68,1,Premium,Web,El producto llegó tarde,1
204,45,Guayaquil,213.29,175,1,11,15.69,1,Basic,Store,Excelente experiencia,1
205,42,Quito,336.29,4,0,2,1.5,1,Premium,Web,Atención rápida y eficiente,0
206,56,Guayaquil,246.92,135,1,52,31.27,1,Premium,WhatsApp,Problemas frecuentes con la plataforma,1
207,50,Cuenca,236.19,109,2,38,58.81,1,Basic,Web,Problemas frecuentes con la plataforma,1
208,18,Cuenca,320.69,163,2,13,13.83,0,Basic,Web,Servicio lento y mala atención,1
209,74,Manta,302.19,48,1,55,42.61,0,Enterprise,Call Center,Excelente experiencia,0
210,44,Guayaquil,123.89,73,2,27,55.23,0,Basic,Call Center,Muy satisfecho con el soporte,0
211,74,Cuenca,368.12,72,3,10,59.89,0,Premium,Store,No volvería a comprar,1
212,69,Quito,360.41,116,0,38,27.44,0,Enterprise,Store,Excelente experiencia,1
213,30,Manta,199.95,173,3,24,40.0,0,Premium,Call Center,Servicio lento y mala atención,1
214,58,Quito,281.66,81,1,20,77.83,0,Enterprise,WhatsApp,Muy satisfecho con el soporte,0
215,20,Guayaquil,289.52,81,4,9,94.12,1,Basic,Web,El producto llegó tarde,0
216,56,Guayaquil,270.85,113,5,42,86.19,0,Basic,WhatsApp,Muy satisfecho con el soporte,1
217,23,Guayaquil,205.98,96,1,14,56.43,0,Basic,WhatsApp,Buen precio y calidad,0
218,25,Manta,196.27,72,1,18,41.03,0,Premium,Call Center,Atención rápida y eficiente,0
219,44,Cuenca,247.96,147,4,47,33.3,1,Enterprise,Store,Excelente experiencia,1
220,26,Manta,343.82,63,1,21,12.5,0,Premium,Web,Servicio lento y mala atención,1
221,54,Quito,293.49,38,1,20,10.66,0,Enterprise,Store,Excelente experiencia,0
222,50,Manta,220.35,67,3,59,68.84,1,Basic,WhatsApp,El producto llegó tarde,0
223,68,Quito,311.74,69,2,51,25.98,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,1
224,59,Manta,22.12,13,0,43,25.47,0,Basic,Store,El producto llegó tarde,1
225,61,Cuenca,341.9,175,1,31,99.82,1,Premium,Store,Servicio lento y mala atención,1
226,41,Quito,110.82,31,2,49,18.79,0,Basic,Call Center,Buen precio y calidad,1
227,32,Guayaquil,221.0,114,1,22,14.81,1,Premium,Store,No volvería a comprar,1
228,71,Guayaquil,160.43,22,4,12,9.87,0,Premium,Store,Atención rápida y eficiente,1
229,49,Manta,146.43,93,3,4,57.98,0,Enterprise,Call Center,Atención rápida y eficiente,0
230,49,Guayaquil,342.87,171,0,3,62.79,0,Basic,Store,Muy satisfecho con el soporte,0
231,41,Quito,212.58,67,2,27,36.52,1,Enterprise,WhatsApp,Muy satisfecho con el soporte,0
232,58,Guayaquil,277.72,54,4,13,53.54,1,Enterprise,Store,El producto llegó tarde,0
233,69,Cuenca,246.25,138,2,7,78.84,1,Basic,Web,Excelente experiencia,0
234,66,Cuenca,288.16,42,1,8,81.81,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,0
235,66,Manta,256.15,64,2,56,95.79,0,Enterprise,Call Center,Excelente experiencia,0
236,69,Quito,147.36,126,2,50,82.43,1,Basic,WhatsApp,Buen precio y calidad,1
237,29,Cuenca,329.7,21,2,34,56.48,1,Premium,Call Center,No volvería a comprar,1
238,56,Cuenca,210.5,169,1,36,17.97,0,Enterprise,Web,Atención rápida y eficiente,1
239,19,Quito,125.47,152,0,20,9.98,0,Enterprise,Web,Excelente experiencia,1
240,20,Guayaquil,215.75,35,3,57,5.45,0,Enterprise,WhatsApp,Atención rápida y eficiente,1
241,66,Guayaquil,370.06,30,6,17,66.65,0,Premium,Store,Muy satisfecho con el soporte,0
242,54,Manta,318.02,57,1,32,80.75,1,Enterprise,WhatsApp,Atención rápida y eficiente,0
243,66,Guayaquil,222.11,47,2,7,50.87,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,0
244,73,Quito,222.06,163,2,50,5.47,0,Enterprise,Web,Atención rápida y eficiente,1
245,34,Cuenca,224.27,19,2,48,53.55,0,Basic,Call Center,Excelente experiencia,0
246,66,Guayaquil,416.14,114,2,16,93.57,0,Enterprise,WhatsApp,Problemas frecuentes con la plataforma,0
247,19,Manta,280.55,8,2,42,59.76,0,Basic,Store,Atención rápida y eficiente,0
248,19,Guayaquil,284.4,26,1,30,80.94,0,Basic,Web,No volvería a comprar,0
249,45,Quito,332.42,113,4,33,80.02,0,Basic,WhatsApp,Muy satisfecho con el soporte,1
250,71,Manta,269.1,71,3,5,93.21,1,Premium,WhatsApp,Atención rápida y eficiente,0
251,40,Guayaquil,229.28,30,0,21,77.02,1,Basic,Store,Problemas frecuentes con la plataforma,0
252,54,Manta,234.29,135,2,13,74.77,1,Enterprise,WhatsApp,Excelente experiencia,0
253,49,Quito,244.27,67,2,2,23.41,0,Premium,WhatsApp,Muy satisfecho con el soporte,0
254,50,Cuenca,247.02,65,3,11,5.99,1,Basic,WhatsApp,El producto llegó tarde,1
255,18,Quito,308.21,36,1,35,51.76,0,Premium,WhatsApp,El producto llegó tarde,0
256,36,Quito,254.16,25,2,11,12.44,0,Premium,Store,Buen precio y calidad,0
257,19,Quito,308.61,37,0,44,96.22,0,Premium,WhatsApp,El producto llegó tarde,0
258,70,Quito,243.54,1,3,1,28.99,0,Enterprise,WhatsApp,Excelente experiencia,0
259,61,Cuenca,256.29,143,3,1,85.29,1,Basic,WhatsApp,No volvería a comprar,0
260,43,Cuenca,90.14,37,2,14,38.76,0,Premium,Web,Muy satisfecho con el soporte,0
261,49,Manta,323.31,141,0,22,32.32,0,Premium,Store,Problemas frecuentes con la plataforma,1
262,23,Guayaquil,277.72,136,3,28,93.52,1,Premium,Web,Servicio lento y mala atención,1
263,49,Cuenca,329.84,133,2,16,36.33,1,Basic,Web,El producto llegó tarde,0
264,72,Cuenca,18.3,128,4,31,39.03,1,Premium,Store,El producto llegó tarde,1
265,21,Guayaquil,417.07,127,1,6,10.61,0,Premium,Web,Servicio lento y mala atención,1
266,72,Cuenca,238.83,1,3,29,67.04,1,Enterprise,Web,Problemas frecuentes con la plataforma,0
267,28,Quito,338.65,164,2,27,28.88,0,Basic,Web,Problemas frecuentes con la plataforma,1
268,73,Quito,166.81,35,4,13,58.56,0,Enterprise,Store,Servicio lento y mala atención,0
269,34,Guayaquil,299.02,104,0,43,59.14,1,Basic,WhatsApp,Problemas frecuentes con la plataforma,1
270,55,Manta,165.73,23,2,29,71.92,1,Basic,Call Center,Excelente experiencia,0
271,41,Manta,200.1,9,1,16,74.52,1,Basic,Call Center,Problemas frecuentes con la plataforma,0
272,22,Guayaquil,403.12,34,1,31,51.45,0,Enterprise,Store,Muy satisfecho con el soporte,0
273,69,Guayaquil,234.75,174,1,45,33.1,0,Enterprise,Call Center,Problemas frecuentes con la plataforma,1
274,51,Quito,267.39,128,0,5,83.75,0,Enterprise,Store,Atención rápida y eficiente,0
275,23,Manta,319.61,4,1,50,30.99,0,Enterprise,Store,Atención rápida y eficiente,0
276,39,Cuenca,289.65,158,2,23,50.75,0,Premium,Call Center,El producto llegó tarde,1
277,28,Quito,262.03,102,3,5,40.13,0,Premium,Web,No volvería a comprar,0
278,65,Guayaquil,279.2,75,5,26,85.51,1,Premium,WhatsApp,Excelente experiencia,1
279,33,Manta,442.27,99,3,17,43.19,0,Basic,Call Center,Excelente experiencia,0
280,50,Cuenca,245.39,72,2,23,38.61,1,Premium,Call Center,Problemas frecuentes con la plataforma,0
281,26,Cuenca,266.09,3,4,36,68.98,1,Basic,Call Center,No volvería a comprar,1
282,23,Quito,334.05,142,3,55,60.24,1,Enterprise,Call Center,No volvería a comprar,1
283,33,Manta,338.44,173,2,23,10.72,1,Basic,Store,Buen precio y calidad,1
284,46,Manta,344.96,34,1,37,50.82,1,Basic,Store,No volvería a comprar,0
285,20,Guayaquil,301.1,45,1,33,73.55,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,0
286,37,Manta,158.56,61,4,39,99.21,0,Enterprise,WhatsApp,Problemas frecuentes con la plataforma,1
287,53,Manta,380.67,83,5,46,62.91,0,Enterprise,Call Center,Servicio lento y mala atención,1
288,36,Quito,158.29,123,1,14,37.03,0,Premium,Call Center,El producto llegó tarde,0
